CellId,AltFreq,AltPos,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,MlpxRate,PrState1,Switch12,Switch21,ProbMlpx,PvalSep,PrBinSep,MinSampSize,Pswitch0_10,Pswitch10_20,Pswitch20_30,Pswitch30_40,Pswitch40_50,Pswitch50_60,Pswitch60_70,Pswitch70_80,Pswitch80_90,Pswitch90_100,Rule_5_5_5,PairId
YKIC110411Loc_DoubleSound,1100,-6,222.8641,0.6002,0.1608,1,4.98E-31,6.67E-52,1.82E-41,Mixture,1,0.4,0.72,0.36,0.59,0.24,0,0,21,7,2,2,1,0,1,0,0,3,3,TRUE,NA
YKIC110411Loc_DoubleSound,903,-6,112.3492,0.6254,0.1577,1,1.55E-23,1.01E-40,6.32E-32,Mixture,1,0.48,0.6,0.27,0.52,0.46,0,0,19,2,3,3,3,2,4,2,0,4,2,TRUE,NA
YKIC080311Loc_DoubleSound,1100,24,64.284,0.2013,0.1463,1,8.04E-14,3.30E-14,1.26E-12,Mixture,1,0.17,0.8,0.26,0.35,0.08,0,0,9,3,11,0,0,0,0,0,0,0,0,TRUE,NA
YKIC102811_1Loc_DoubleSound,500,6,4.5706,0.1172,0.132,1,2.34E-13,1.76E-15,2.44E-12,Mixture,1,0.21,0.85,0.2,0.33,0.13,0.05,0.18,7,1,13,4,2,0,0,0,0,0,0,TRUE,NA
YKIC140501Loc_DoubleSound,500,24,42.6972,0.1552,0.1171,0.999999999,5.60E-10,5.97E-14,1.68E-11,Mixture,0.999999999,0.44,0.68,0.21,0.22,0.39,0,0,8,1,0,3,1,1,1,2,1,0,0,TRUE,2
YKIC140501Loc_DoubleSound,500,6,23.0292,0.1994,0.449,0.999999947,3.56E-08,2.96E-11,1.69E-08,Mixture,0.999999947,0.29,0.53,0.29,0.31,0.16,0,0,10,1,3,3,1,2,1,0,0,0,0,TRUE,2
YKIC140501Loc_DoubleSound,500,24,43.2493,0.1532,0.226,0.999999933,5.82E-08,5.65E-10,8.59E-09,Mixture,0.999999933,0.24,0.34,0.35,0.32,0.1,0,0,8,2,4,2,1,1,0,0,0,0,0,TRUE,1
YKIC140501Loc_DoubleSound,1632,24,9.7524,0.306,0.1177,0.999999774,1.61E-07,3.89E-09,6.11E-08,Mixture,0.999999774,0.34,0.38,0.3,0.29,0.24,0,0,11,0,3,3,3,4,0,0,0,0,0,TRUE,2
YKIC140124Loc_DoubleSound,500,24,22.8664,0.4465,0.2615,0.999999594,4.03E-07,2.01E-10,3.02E-09,Mixture,0.999999594,0.82,0.22,0.47,0.33,0.97,0,0,10,0,0,0,0,1,0,2,5,10,11,TRUE,2
YKIC072611Loc_DoubleSound,500,-6,5.2763,0.2393,0.4316,0.999999293,1.93E-07,3.76E-11,5.13E-07,Mixture,0.999999293,0.24,0.58,0.29,0.33,0.12,0.03,0.12,5,1,3,1,0,0,0,0,0,0,0,TRUE,NA
YKIC072611Loc_DoubleSound,609,-6,18.8861,0.2995,0.4236,0.99999928,5.02E-07,2.95E-09,2.16E-07,Mixture,0.99999928,0.34,0.63,0.34,0.38,0.23,0,0,5,1,2,2,0,0,1,1,0,0,0,TRUE,NA
YKIC110211Loc_DoubleSound,1100,-24,8.1737,0.1362,0.1256,0.999997358,2.09E-06,2.38E-08,5.25E-07,Mixture,0.999997358,0.18,0.36,0.31,0.25,0.05,0.02,0.03,10,3,8,0,0,0,0,0,0,0,0,TRUE,NA
YKIC111011Loc_DoubleSound,1100,-6,34.6761,0.4382,0.394,0.999996869,2.51E-06,4.25E-11,6.24E-07,Mixture,0.999996869,0.26,0.59,0.33,0.41,0.11,0,0,5,3,3,1,0,2,0,0,0,0,0,TRUE,NA
YKIC092311_1Loc_DoubleSound,609,24,112.0442,0.5168,0.5021,3.21E-06,0.999996346,2.53E-10,4.49E-07,Average,0.999996346,0.8,0.29,0.47,0.26,0.96,0,0,7,0,0,0,0,0,0,2,0,1,4,TRUE,NA
YKIC110911Loc_DoubleSound,500,-6,56.5435,0.4268,0.5858,0.999991983,3.21E-06,2.96E-08,4.78E-06,Mixture,0.999991983,0.29,0.87,0.17,0.34,0.21,0,0,8,0,2,12,0,3,0,0,0,0,0,TRUE,NA
YKIC140501Loc_DoubleSound,1632,6,3.8098,0.2183,0.454,0.999990807,4.10E-07,4.77E-08,8.74E-06,Mixture,0.999990807,0.37,0.28,0.33,0.23,0.29,0.01,0,6,0,3,3,3,5,3,0,0,0,0,TRUE,2
YKIC072811Loc_DoubleSound,903,24,3.3144,0.1292,0.456,2.35E-06,2.06E-09,0.999989894,7.76E-06,Outside,0.999989894,0.43,0.9,0.16,0.39,0.42,0,0.01,10,0,0,0,7,5,1,0,0,0,0,TRUE,NA
YKIC090211_1Loc_DoubleSound,609,6,105.1162,0.3155,0.1167,0.999973912,2.61E-05,4.16E-16,2.15E-10,Mixture,0.999973912,0.35,0.23,0.44,0.47,0.15,0,0,14,10,2,1,3,1,2,2,2,3,0,TRUE,NA
YKIC140220Loc_DoubleSound,500,6,14.187,0.3643,0.266,0.999952872,2.40E-05,8.99E-10,2.32E-05,Mixture,0.999952872,0.33,0.59,0.28,0.35,0.24,0,0,22,0,2,7,8,3,0,0,0,0,0,TRUE,1
YKIC090111_1Loc_DoubleSound,1100,-6,176.31,0.1543,0.1752,1.91E-05,0.999950544,2.14E-07,3.01E-05,Average,0.999950544,0.48,0.88,0.25,0.52,0.43,0,0,9,0,0,4,4,0,0,2,2,0,1,TRUE,NA
YKIC140221Loc_DoubleSound,1100,-6,54.0693,0.2926,0.8532,0.99994971,5.03E-05,1.61E-11,1.99E-09,Mixture,0.99994971,0.51,0.59,0.48,0.48,0.51,0,0,37,0,0,3,11,10,16,11,5,0,0,TRUE,1
YKIC140605Loc_DoubleSound,500,6,14.9083,0.3277,0.1282,0.999908475,6.30E-05,2.32E-07,2.83E-05,Mixture,0.999908475,0.29,0.32,0.37,0.27,0.19,0,0,7,1,0,4,0,0,0,0,0,0,0,TRUE,1
PSIC111010Loc_DoubleSound,609,24,8.285,0.4966,0.7323,0.999889755,4.05E-05,5.62E-06,6.41E-05,Mixture,0.999889755,0.24,0.32,0.36,0.28,0.12,0.02,0.07,6,1,5,2,2,0,0,0,0,0,0,TRUE,NA
YKIC090211_1Loc_DoubleSound,500,24,45.97,0.379,0.2341,0.999816657,6.52E-05,3.26E-08,0.000118099,Mixture,0.999816657,0.46,0.21,0.25,0.26,0.43,0,0,12,0,0,3,6,2,3,2,1,1,0,TRUE,NA
PSIC110210Loc_DoubleSound,609,6,14.6896,0.1827,0.1548,0.999816161,0.000105787,3.87E-06,7.42E-05,Mixture,0.999816161,0.42,0.35,0.38,0.27,0.38,0,0,8,0,1,1,2,3,1,1,0,0,0,TRUE,NA
YKIC090211_1Loc_DoubleSound,500,6,110.9145,0.1851,0.1177,0.999759687,0.00016048,6.13E-08,7.98E-05,Mixture,0.999759687,0.41,0.19,0.31,0.39,0.26,0,0,14,8,1,2,1,0,2,0,2,1,3,TRUE,NA
YKIC140219Loc_DoubleSound,1100,-6,26.1347,0.4487,0.4044,0.999731701,0.000244507,2.54E-09,2.38E-05,Mixture,0.999731701,0.6,0.57,0.41,0.38,0.7,0,0,11,0,1,1,1,4,3,1,4,1,3,TRUE,2
PSIC111710Loc_DoubleSound,500,-6,8.856,0.9124,0.4284,5.20E-05,7.46E-06,0.999730247,0.000210322,Outside,0.999730247,0.33,0.92,0.15,0.39,0.29,0,0.02,27,0,0,7,11,0,0,0,0,0,0,TRUE,NA
PSIC051111Loc_DoubleSound,903,-24,61.9521,0.3705,0.1422,0.999633556,0.000366443,1.17E-11,9.41E-10,Mixture,0.999633556,0.27,0.49,0.31,0.35,0.11,0,0,9,4,4,1,2,2,0,1,0,0,0,TRUE,NA
YKIC100111_1Loc_DoubleSound,500,-24,31.1806,0.1218,0.2141,0.000110218,0.999346841,4.03E-06,0.000538915,Average,0.999346841,0.59,0.76,0.22,0.37,0.63,0,0,6,0,0,0,0,1,3,6,0,1,0,TRUE,NA
YKIC140220Loc_DoubleSound,1988,-6,14.4894,0.3224,0.2403,0.999309547,0.000323507,3.53E-08,0.000366911,Mixture,0.999309547,0.55,0.23,0.29,0.26,0.6,0.03,0.01,14,0,0,2,5,3,8,6,7,0,0,TRUE,2
YKIC110411_1Loc_DoubleSound,903,6,13.5637,0.3679,0.5124,0.999209722,0.000648473,8.96E-08,0.000141715,Mixture,0.999209722,0.43,0.3,0.23,0.25,0.38,0,0,18,0,0,2,10,10,3,2,1,0,0,TRUE,NA
YKIC140221Loc_DoubleSound,1100,24,36.4411,0.1038,0.1213,0.998766834,0.001165816,1.24E-09,6.73E-05,Mixture,0.998766834,0.6,0.75,0.24,0.25,0.68,0,0,32,0,0,0,8,4,8,16,14,4,0,TRUE,1
YKIC092311_1Loc_DoubleSound,903,-24,80.3143,0.2133,0.5075,0.000289383,0.998740269,8.79E-06,0.000961553,Average,0.998740269,0.43,0.9,0.17,0.39,0.41,0,0,6,0,0,5,3,1,3,2,0,0,0,TRUE,NA
YKIC140501Loc_DoubleSound,500,6,31.7114,0.1941,0.1481,0.998367322,0.000806881,5.33E-05,0.000772457,Mixture,0.998367322,0.44,0.28,0.24,0.18,0.38,0,0,10,0,0,1,6,1,0,2,1,0,0,TRUE,1
YKIC100111_1Loc_DoubleSound,903,-24,25.8854,0.1934,0.2137,0.997791325,0.000553078,2.34E-06,0.001653252,Mixture,0.997791325,0.34,0.8,0.22,0.25,0.28,0,0,6,0,0,6,4,1,1,0,0,0,0,TRUE,NA
YKIC140321Loc_DoubleSound,500,24,15.6457,0.1024,0.204,0.997692129,0.000606073,0.000186905,0.001514893,Mixture,0.997692129,0.37,0.22,0.31,0.22,0.33,0.01,0.03,10,0,1,3,7,3,1,0,0,0,0,TRUE,2
YKIC140501Loc_DoubleSound,1632,-24,28.0507,0.176,0.6066,0.997565994,0.00149978,4.17E-08,0.000934184,Mixture,0.997565994,0.52,0.53,0.25,0.26,0.53,0.01,0,10,0,1,0,1,1,3,0,1,1,0,TRUE,2
PSIC111710Loc_DoubleSound,1100,-24,102.9261,0.2364,0.2538,0.997325144,0.002674806,5.82E-13,5.05E-08,Mixture,0.997325144,0.33,0.44,0.31,0.25,0.2,0,0,25,0,5,5,4,1,1,1,0,0,0,TRUE,NA
YKIC110911Loc_DoubleSound,609,-24,7.0365,0.1479,0.2053,0.997283707,7.77E-05,0.001638916,0.000999635,Mixture,0.997283707,0.29,0.8,0.21,0.28,0.2,0,0,9,0,2,8,0,1,0,0,0,0,0,TRUE,NA
YKIC140507Loc_DoubleSound,1632,-6,6.4395,0.1348,0.7412,0.995817952,0.001867246,6.01E-07,0.002314201,Mixture,0.995817952,0.37,0.39,0.3,0.31,0.29,0.01,0,6,0,2,3,2,4,2,0,0,0,0,TRUE,2
YKIC110311Loc_DoubleSound,903,6,14.4854,0.2302,0.189,0.995723828,0.001225771,6.20E-07,0.003049781,Mixture,0.995723828,0.3,0.69,0.3,0.28,0.17,0,0,11,0,7,5,11,5,0,0,0,0,0,TRUE,NA
YKIC110911Loc_DoubleSound,903,-24,6.9545,0.1906,0.1965,0.995714791,0.000383721,0.000455327,0.003446161,Mixture,0.995714791,0.18,0.77,0.27,0.35,0.06,0,0,10,4,4,0,0,0,0,0,0,0,0,TRUE,NA
YKIC141016Loc_DoubleSound,500,24,592.1191,0.1627,0.3258,0.000916417,0.995372174,0.000241887,0.003469522,Average,0.995372174,0.32,0.92,0.28,0.65,0.2,0,0,23,0,9,4,2,1,0,0,1,0,1,TRUE,1
PSIC102610Loc_DoubleSound,609,6,8.8197,0.6602,0.5068,0.994346962,0.004495542,0.000117948,0.001039548,Mixture,0.994346962,0.4,0.67,0.34,0.4,0.33,0,0,7,0,3,0,4,3,2,0,0,0,0,TRUE,NA
YKIC072811Loc_DoubleSound,500,24,5.9428,0.2806,0.4522,0.001442738,0.000179074,0.993508439,0.00486975,Outside,0.993508439,0.41,0.09,0.45,0.19,0.38,0.01,0,11,0,0,1,8,5,1,0,0,0,0,TRUE,NA
YKIC140226Loc_DoubleSound,500,6,40.4295,0.5278,0.2755,0.005280933,0.993170995,1.11E-08,0.00154806,Average,0.993170995,0.73,0.65,0.28,0.3,0.85,0,0,13,0,0,0,0,0,1,6,6,7,0,TRUE,2
PSIC092910Loc_DoubleSound,903,-6,34.387,0.652,0.5251,0.00737928,0.99215173,1.71E-05,0.000451932,Average,0.99215173,0.71,0.45,0.3,0.31,0.8,0,0,11,0,0,0,0,1,0,4,8,4,0,TRUE,NA
YKIC140121Loc_DoubleSound,500,24,34.4095,0.1264,0.719,0.00853087,0.991373527,1.16E-06,9.44E-05,Average,0.991373527,0.76,0.47,0.44,0.44,0.89,0,0,10,0,0,0,0,1,0,3,5,10,1,TRUE,1
YKIC140501Loc_DoubleSound,500,-6,6.113,0.3007,0.6049,0.99117004,0.00250249,1.36E-06,0.006326114,Mixture,0.99117004,0.52,0.66,0.27,0.32,0.52,0.01,0.03,10,0,0,0,3,1,6,2,0,0,0,TRUE,1
YKIC102811Loc_DoubleSound,1100,6,5.776,0.1333,0.4178,0.990648422,0.005965899,0.000404081,0.002981599,Mixture,0.990648422,0.45,0.54,0.34,0.34,0.41,0,0,12,0,0,0,3,11,2,0,0,0,0,TRUE,NA
PSIC092310Loc_DoubleSound,903,-24,42.1865,0.1156,0.1533,0.005498417,0.989856764,0.0004424,0.004202419,Average,0.989856764,0.62,0.69,0.32,0.35,0.66,0,0,7,0,0,0,0,2,1,1,2,1,0,TRUE,NA
YKIC090111_1Loc_DoubleSound,500,6,12.9405,0.222,0.8289,0.987549391,0.011802679,0.000146993,0.000500938,Mixture,0.987549391,0.3,0.23,0.38,0.27,0.22,0,0,6,0,0,9,2,1,0,0,0,0,0,TRUE,NA
PSIC092810Loc_DoubleSound,1100,-24,140.7361,0.1879,0.3516,0.012977715,0.986865426,8.70E-08,0.000156771,Average,0.986865426,0.62,0.39,0.43,0.25,0.71,0,0,13,0,1,0,0,1,0,1,1,0,2,TRUE,NA
YKIC120111Loc_DoubleSound,1100,6,57.8272,0.4218,0.6167,0.984224029,0.015748633,2.46E-09,2.73E-05,Mixture,0.984224029,0.54,0.45,0.43,0.28,0.57,0,0,5,0,1,2,0,2,0,0,3,1,1,TRUE,NA
YKIC140220Loc_DoubleSound,1988,6,32.7355,0.1673,0.2676,0.980868102,0.016574046,0.000220455,0.002337397,Mixture,0.980868102,0.56,0.51,0.26,0.27,0.6,0,0,22,0,0,0,1,5,4,5,3,0,0,TRUE,1
YKIC140226Loc_DoubleSound,1988,24,17.2358,0.7957,0.6076,0.979565838,0.014451662,1.73E-07,0.005982326,Mixture,0.979565838,0.4,0.43,0.27,0.3,0.34,0,0,17,0,1,5,5,14,1,0,0,0,0,TRUE,1
